identifier,normalizedIdentifier,lookupType,resolvedUuid,resolvedUsername,stars,nicked,cacheSource,cacheHit,revalidated,installId,responseStatus,latencyMs,requestedAt
2ac993e54b414b2a954a08c05f63c670,2ac993e54b414b2a954a08c05f63c670,uuid,2ac993e54b414b2a954a08c05f63c670,007MATTE,7,false,network,false,false,,200,1393,2026-03-13T16:21:20.517Z
74672b2a6834459da952112f04f6b835,74672b2a6834459da952112f04f6b835,uuid,74672b2a6834459da952112f04f6b835,Daniindahous,64,false,network,false,false,,200,1593,2026-03-13T16:21:20.517Z
ed8f4c7b5df343ba9965719f8d37ae93,ed8f4c7b5df343ba9965719f8d37ae93,uuid,ed8f4c7b5df343ba9965719f8d37ae93,Ptoz,147,false,network,false,false,,200,1798,2026-03-13T16:21:20.517Z
50b3cc90754a4232bfe65eeb169a775a,50b3cc90754a4232bfe65eeb169a775a,uuid,50b3cc90754a4232bfe65eeb169a775a,KoopaTroopaMe,86,false,network,false,false,,200,1901,2026-03-13T16:21:20.517Z
0d02d0aea669489da8688852cae073a1,0d02d0aea669489da8688852cae073a1,uuid,0d02d0aea669489da8688852cae073a1,dianacracker,21,false,network,false,false,,200,1792,2026-03-13T16:21:20.517Z
253dc59526b9462db7d82bcb57f91da3,253dc59526b9462db7d82bcb57f91da3,uuid,253dc59526b9462db7d82bcb57f91da3,ginger_Lxmmy1906,15,false,network,false,false,,200,202,2026-03-13T16:19:05.515Z
eb340029091c4eb1bea5ccf4a570837c,eb340029091c4eb1bea5ccf4a570837c,uuid,eb340029091c4eb1bea5ccf4a570837c,grandetopo7374,13,false,network,false,false,,200,305,2026-03-13T16:19:05.515Z
96b0c0393224413a910f8218fce53135,96b0c0393224413a910f8218fce53135,uuid,96b0c0393224413a910f8218fce53135,Elgar,14,false,network,false,false,,200,395,2026-03-13T16:19:05.515Z
9f84ec6b4a0d4ea082b35a5afc3b797c,9f84ec6b4a0d4ea082b35a5afc3b797c,uuid,9f84ec6b4a0d4ea082b35a5afc3b797c,sh5rk08,59,false,network,false,false,,200,401,2026-03-13T16:19:05.515Z
6a2626b6125946f6817045c352700bea,6a2626b6125946f6817045c352700bea,uuid,6a2626b6125946f6817045c352700bea,gloxed,154,false,network,false,false,,200,693,2026-03-13T16:19:05.515Z
385cf5db432341b1a55b802cd845d534,385cf5db432341b1a55b802cd845d534,uuid,385cf5db432341b1a55b802cd845d534,CrispyLink,494,false,network,false,false,,200,998,2026-03-13T16:19:05.515Z
